"Population estimates, July 1, by census metropolitan area and census agglomeration, 2021 boundaries 1 2 3 4 5 6 7"
"Frequency: Annual"
"Table: 17-10-0148-01"
"Release date: 2026-01-14"
"Geography: Canada, Census metropolitan area, Census agglomeration, Census metropolitan area part, Census agglomeration part"
""
""

"Gender","Total - gender",,,,,,,,,
"Age group 8","All ages",,,,,,,,,
"Geography","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
,"Persons",,,,,,,,,
"Area outside census metropolitan areas and census agglomerations, New Brunswick","286,473","286,453","286,563","287,844","288,715","290,590","295,025","297,994","301,573","302,766"
"Area outside census metropolitan areas and census agglomerations, Quebec","1,502,958","1,507,332","1,514,250","1,520,763","1,535,803","1,561,639","1,582,774","1,600,121","1,616,440","1,630,527"
"Area outside census metropolitan areas and census agglomerations, Ontario","1,401,691","1,412,097","1,430,501","1,448,821","1,466,061","1,489,276","1,512,843","1,525,515","1,537,434","1,549,650"
"Area outside census metropolitan areas and census agglomerations, Manitoba","379,444","382,723","385,958","390,121","393,288","396,616","399,336","402,465","406,893","410,435"
"Area outside census metropolitan areas and census agglomerations, Saskatchewan","397,240","397,570","397,227","397,103","396,475","396,526","396,553","398,276","401,527","403,714"
"Area outside census metropolitan areas and census agglomerations, Alberta","781,890","783,459","785,394","787,601","787,605","787,104","788,635","796,658","811,705","818,430"
"Area outside census metropolitan areas and census agglomerations, British Columbia","511,406","518,133","525,546","531,904","536,639","542,869","549,454","555,227","559,629","561,619"
"Area outside census metropolitan areas and census agglomerations, Yukon","8,179","8,410","8,568","8,689","8,626","8,728","8,656","8,717","8,772","8,694"
"Area outside census metropolitan areas and census agglomerations, Northwest Territories","23,665","23,487","23,250","22,951","22,846","22,675","22,466","22,193","22,107","22,124"
"Area outside census metropolitan areas and census agglomerations, Nunavut","36,979","37,656","38,322","38,839","39,479","40,086","40,603","40,916","41,410","41,830"
"All census metropolitan areas and census agglomerations, Newfoundland and Labrador","272,951","274,739","275,492","276,749","278,005","278,990","283,896","292,127","300,589","304,296"
"All census metropolitan areas, Newfoundland and Labrador","213,775","215,534","216,404","217,821","219,282","220,052","224,707","232,536","240,428","243,478"
"All census agglomerations, Newfoundland and Labrador","59,176","59,205","59,088","58,928","58,723","58,938","59,189","59,591","60,161","60,818"
"All census metropolitan areas and census agglomerations, Prince Edward Island","91,347","93,803","95,798","98,256","100,421","102,155","105,739","110,566","115,525","117,533"
"All census agglomerations, Prince Edward Island","91,347","93,803","95,798","98,256","100,421","102,155","105,739","110,566","115,525","117,533"
"All census metropolitan areas and census agglomerations, Nova Scotia","646,571","653,817","662,433","674,530","685,941","694,096","713,836","738,632","764,876","774,125"
"All census metropolitan areas, Nova Scotia","438,022","445,326","453,010","462,737","473,565","482,144","498,222","515,453","536,372","544,834"
"All census agglomerations, Nova Scotia","208,549","208,491","209,423","211,793","212,376","211,952","215,614","223,179","228,504","229,291"
"All census metropolitan areas and census agglomerations, New Brunswick","476,849","480,244","483,934","489,543","494,717","500,212","513,844","533,109","556,720","566,916"
"All census metropolitan areas, New Brunswick","382,780","386,207","390,044","395,519","400,529","405,533","418,279","435,721","456,690","465,989"
"All census agglomerations, New Brunswick","94,069","94,037","93,890","94,024","94,188","94,679","95,565","97,388","100,030","100,927"
"All census metropolitan areas and census agglomerations, Quebec","6,722,078","6,785,500","6,872,701","6,962,423","7,015,292","7,010,381","7,087,189","7,221,575","7,379,034","7,427,770"
"All census metropolitan areas, Quebec","5,922,427","5,982,869","6,067,208","6,152,941","6,200,602","6,187,445","6,256,283","6,382,546","6,530,061","6,573,240"
"All census agglomerations, Quebec","799,651","802,631","805,493","809,482","814,690","822,936","830,906","839,029","848,973","854,530"
"All census metropolitan areas and census agglomerations, Ontario","12,474,809","12,666,402","12,896,245","13,124,744","13,295,750","13,353,212","13,642,993","14,106,966","14,607,363","14,708,610"
"All census metropolitan areas, Ontario","11,436,339","11,616,207","11,833,303","12,050,393","12,210,984","12,254,838","12,524,094","12,966,989","13,444,307","13,534,536"
"All census agglomerations, Ontario","1,038,470","1,050,195","1,062,942","1,074,351","1,084,766","1,098,374","1,118,899","1,139,977","1,163,056","1,174,074"
"All census metropolitan areas and census agglomerations, Manitoba","934,696","952,011","966,729","979,912","986,844","995,308","1,014,162","1,050,737","1,085,251","1,099,267"
"All census metropolitan areas, Manitoba","806,186","821,697","835,049","847,015","852,805","860,237","877,045","909,657","940,010","951,758"
"All census agglomerations, Manitoba","128,510","130,314","131,680","132,897","134,039","135,071","137,117","141,080","145,241","147,509"
